product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,review_content
DEMO0010,"Rowan Mechanical Keyboard, 87 Keys TKL Layout, Hot-Swappable Blue Switches, White Backlight, Detachable Type-C Cable, for Windows and Mac (Graphite)",Computers&Accessories|Accessories&Peripherals|Keyboards,"₹4,499","₹6,999",36%,4.4,"5,671","Typing feel is excellent and the switches are satisfying.,Louder than I expected — not for a shared office.,Backlight is even across the board."
DEMO0011,"Wren Cable Management Organiser Box with Silicone Clips and Adhesive Base, Fits Power Strips and Chargers, Fire-Retardant ABS (White)",Computers&Accessories|Accessories&Peripherals|CableManagement,₹299,₹499,40%,4.0,320,"Keeps the desk tidy, does exactly what it says.,Adhesive held on a painted wall.,Wish it came in a larger size."
DEMO0012,"Marlow Fitness Smart Watch with 1.85 Inch HD Display, Bluetooth Calling, 100+ Sports Modes, SpO2 and Heart Rate Monitoring, 7-Day Battery (Midnight Black)",Electronics|WearableTechnology|SmartWatches,"₹1,999","₹5,999",67%,4.1,"18,442","Battery genuinely lasts a week.,Call quality over the watch is average at best.,Step tracking matches my phone closely."
DEMO0013,"Thicket A5 Hardbound Dotted Notebook, 160 GSM Bleed-Proof Paper, 192 Pages, Lay-Flat Binding, Elastic Closure and Ribbon Marker (Ochre)",OfficeProducts|OfficePaperProducts|Notebooks,₹549,₹899,39%,4.5,"1,876","Paper handles fountain pen ink without bleeding.,Lies flat from the first page.,The elastic is a little loose."
DEMO0014,"Fenwick 1200W Handheld Garment Steamer with 260ml Tank, 30-Second Heat-Up, Vertical and Horizontal Steaming, Fabric Brush Included (Teal)",Home&Kitchen|Kitchen&HomeAppliances|Irons&Steamers,"₹1,749","₹2,899",40%,3.2,634,"Leaks water onto the fabric if you tilt it too far.,Heats up quickly.,Fine for touch-ups, not for a full shirt."
DEMO0015,"Ashgrove 65W USB-C to USB-C Braided Charging Cable, 5A Fast Charge, 240W Rated, 2 Metre, Compatible with Laptops, Phones and Tablets (Midnight Blue)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹649,"₹1,199",46%,4.2,"9,510","Charges my laptop at full speed.,Braiding has not frayed after six months.,Slightly stiff to coil."
DEMO0016,"Lowry Wireless Keyboard and Mouse Combo for Windows and Mac, 2.4 GHz, Full-Size Layout with Number Pad, 24-Month Keyboard Battery Life (Black)",Computers&Accessories|Accessories&Peripherals|Keyboards,"₹1,899","₹2,999",37%,3.8,"4,203","Keys are quiet and comfortable for long sessions.,The mouse feels cheap next to the keyboard.,Single receiver for both is convenient."
DEMO0017,"Bramble Ceramic Pour-Over Coffee Dripper with Reusable Stainless Steel Filter, Fits Cups and Carafes up to 600ml, Dishwasher Safe (Cream)",Home&Kitchen|Kitchen&Dining|CoffeeTea,₹899,"₹1,299",31%,4.7,"1,102","Brews a clean cup without paper filters.,The ceramic feels substantial.,Filter is easy to rinse out."
DEMO0018,"Quarry 20000mAh Power Bank with 22.5W Fast Charging, Dual USB-A and Type-C Output, LED Charge Indicator, Airline Safe (Gunmetal)",Electronics|Mobiles&Accessories|PowerBanks,"₹1,499","₹2,999",50%,2.9,"3,318","Takes most of a day to recharge itself.,Capacity is nowhere near what is claimed.,Does charge two phones at once, at least."
DEMO0019,"Sedge Over-Ear Wireless Headphones with Active Noise Cancellation, 40-Hour Playtime, Memory Foam Cushions and Low-Latency Gaming Mode (Sand)",Electronics|HomeAudio|Headphones,"₹3,299","₹6,499",49%,4.2,"7,655","Noise cancellation handles a commute well.,Clamping force is tight for the first week.,Battery easily lasts a working week."
DEMO0020,"Harrow Non-Stick Cast Aluminium Frying Pan 24cm with Induction Base, Stay-Cool Bakelite Handle and Scratch-Resistant Coating (Granite)",Home&Kitchen|Kitchen&Dining|Cookware,"₹1,199","₹2,199",45%,3.3,988,"Coating started flaking after four months.,Heats evenly across the base.,Handle stays cool as promised."
DEMO0021,Ferry Universal TV Remote,Electronics|Accessories|RemoteControls,₹299,₹499,40%,4.0,512,"Worked with my TV straight out of the box.,Buttons are a little small."
DEMO0022,"Glimmer Tempered Glass Screen Protector Compatible for Phone 14 / 14 Pro, 9H Hardness, Edge to Edge Coverage, Installation Frame Included (Pack of 2)",Electronics|Mobiles&Accessories|ScreenProtectors,₹399,₹999,60%,4.1,"6,204","Installation frame made it foolproof.,No bubbles after two days.,Second one cracked in my bag before I used it."
DEMO0023,"Bracken 10L Storage Water Heater 5 Star Rated with Advanced Three-Level Safety, Rust-Proof Tank and Adjustable Thermostat (Ivory)",Home&Kitchen|Kitchen&HomeAppliances|WaterHeaters,"₹6,499","₹9,999",35%,4.3,"2,447","Heats 10 litres in about eight minutes.,Installation was not included, budget for a plumber.,No leaks after a year."
DEMO0024,"Selkirk 1.2m HDMI 2.1 Cable, 48Gbps, 8K at 60Hz and 4K at 120Hz, Braided Jacket, Compatible with Consoles, Monitors and Soundbars (Black)",Electronics|Accessories|Cables,₹599,"₹1,299",54%,4.4,"3,902","Handles 4K 120Hz on a console without dropouts.,Braiding is stiff but well made."
,Foxglove Desk Mat Extended Size,OfficeProducts|OfficeElectronics|Accessories,₹599,₹999,40%,4.0,220,"Covers the whole desk and stops the mouse skipping."
DEMO0026,"Larkspur Bluetooth Earbuds with Charging Case, 30-Hour Total Playtime, Touch Controls and IPX5 Water Resistance (Pearl)",Electronics|HomeAudio|Earbuds,"₹1,299","₹2,499",48%,4.2,"4,880",""
DEMO0027,"Nettle Adjustable Monitor Riser with Storage Drawer, Fits Monitors up to 27 Inches, Bamboo Finish",OfficeProducts|OfficeElectronics|Accessories,"₹1,399","₹1,999",30%,|,760,"Lifts the monitor to eye level and hides the keyboard underneath."
DEMO0028,"Yarrow Silicone Baking Mat Set of 2, Reusable Non-Stick Sheets, Oven Safe to 230C, Fits Standard Trays",Home&Kitchen|Kitchen&Dining|Bakeware,₹499,₹899,44%,,"1,455","Nothing sticks and cleanup is a rinse.,Curls slightly at the edges when new."
